start,end,distance,time,accessible
AdmissionsOffice,TitanStore,201,3,True
AdmissionsOffice,DanBlackHall,154,2,True
AdmissionsOffice,GordonHall,102,1,True
AdmissionsOffice,Humanities,54,1,True
TitanStore,ClayesPerformanceArtCenter,93,1,True
TitanStore,PollakLibrary,157,2,True
TitanStore,StudentRecreationCenter,209,3,True
ClayesPerformanceArtCenter,ComputerScience,125,2,True
ComputerScience,Engineering,52,1,True
ComputerScience,EastsideNorthParkingStructure,102,1,True
ComputerScience,EducationClassroom,156,2,True
DanBlackHall,LangsdorfHall,91,1,True
DanBlackHall,McCarthyHall,102,1,True
Engineering,EastsideNorthParkingStructure,56,1,True
EastsideNorthParkingStructure,EastsideSouthParkingStructure,67,1,True
EastsideSouthParkingStructure,ParkingLotA,151,2,True
GordonHall,Humanities,59,1,True
GordonHall,LangsdorfHall,97,1,True
Humanities,McCarthyHall,70,1,True
Kinesiology,PollakLibrary,120,2,True
Kinesiology,EducationClassroom,90,1,True
LangsdorfHall,McCarthyHall,50,1,True
NutwoodParkingStructure,DanBlackHall,150,2,True
NutwoodParkingStructure,StudentRecreationCenter,120,2,True
PollakLibrary,EducationClassroom,80,1,True
PollakLibrary,Humanities,90,1,True
StudentRecreationCenter,Kinesiology,180,2,True
